Name;1939;1950;1960;1970;1980;1990;2000;2010;2020;2021;2022;"Fläche in km² (2022)";"Einwohner/km² (2022)";"Veränderung in [%] 2022/2021";"Großstadt erst­mals⁠";Bun­des­land
Lübeck;149502;238276;232140;239955;220588;214758;213399;210232;215846;216277;218095;214.19;1018;0.84;1912;Schleswig-Holstein
Ludwigshafen am Rhein⁠;143934;123869;164657;176257;159399;162233;163383;164177;172557;172145;174265;77.43;2251;1.23;1921;Rheinland-Pfalz
Magdeburg;329824;260305;261594;272237;289032;278807;231450;231549;235775;236188;239364;201.03;1191;1.34;1882;Sachsen-Anhalt
Mainz⁠;154033;88369;133089;174858;187392;179486;182870;199237;217123;217556;220552;97.73;2257;1.38;1908;Rheinland-Pfalz
Mannheim;280365;245634;311383;332378;304303;310411;306729;313174;309721;311831;315554;144.97;2177;1.19;1897;Baden-Württemberg
Moers⁠;29646;34832;45908;53410;99923;104595;107062;105506;103487;103725;105287;67.68;1556;1.51;1975;Nordrhein-Westfalen
Mönchengladbach⁠;128418;124879;152414;151085;258424;259436;263014;257993;259665;261001;268465;170.47;1575;2.86;1921;Nordrhein-Westfalen
Mülheim an der Ruhr;136828;149589;183979;192183;181279;177681;172862;167344;170921;170739;172404;91.28;1889;0.98;1908;Nordrhein-Westfalen
München;815212;831937;1101384;1311978;1298941;1229026;1210223;1353186;1488202;1487708;1512491;310.7;4868;1.67;1852;Bayern
Münster⁠;132760;118496;180871;198878;269696;259438;265609;279803;316403;317713;320946;303.28;1058;1.02;1915;Nordrhein-Westfalen
Neuss;59649;63478;93680;116013;149334;147019;150013;151388;153109;152731;154139;99.52;1549;0.92;1963;Nordrhein-Westfalen
Nürnberg;420349;362459;458401;478181;484405;493692;488400;505664;515543;510632;523026;186.44;2805;2.43;1881;Bayern
Oberhausen⁠;191829;202808;258626;246199;228947;223840;222151;212945;209566;208752;210824;77.09;2735;0.99;1914;Nordrhein-Westfalen
Offenbach am Main;85128;89030;115051;118841;110993;114992;117535;120435;130892;131295;134710;44.88;3002;2.6;1954;Hessen
Oldenburg (Oldb);74141;122809;122337;131545;136764;143131;154832;162173;169605;170389;172830;103.09;1676;1.43;1946;Niedersachsen
Osnabrück⁠;97918;109538;135821;144864;157367;163168;164101;164119;164223;165034;167366;119.8;1397;1.41;1939;Niedersachsen
Paderborn;39955;40270;52773;68207;110155;120680;139084;146283;151864;152531;154755;179.59;862;1.46;1975;Nordrhein-Westfalen
Pforzheim;78320;54143;81373;91104;106500;112944;117156;119781;126016;125529;127849;97.99;1305;1.85;1975;Baden-Württemberg
Potsdam;126241;118180;115004;111336;130900;139794;129324;156906;182112;183154;185750;188.24;987;1.42;1939;Brandenburg
Recklinghausen;86302;104791;130405;125369;119418;125060;124785;118365;110705;110714;111734;66.5;1680;0.92;1949;Nordrhein-Westfalen
Regensburg;90651;117291;123751;130888;132604;121691;125676;135520;152270;153542;157443;80.86;1947;2.54;1940;Bayern
Remscheid⁠;103912;103276;125912;136822;129082;123155;119287;110563;111516;111770;112613;74.52;1511;0.75;1929;Nordrhein-Westfalen
Reutlingen;37421;45735;66659;79705;95456;103687;110650;112484;116031;116456;117547;87.04;1350;0.94;1988;Baden-Württemberg
Rostock⁠;118048;133109;158630;198636;232506;248088;200506;202735;209061;208400;209920;181.36;1157;0.73;1935;Mecklenburg-Vorpommern
Saarbrücken⁠;131285;111450;129801;128251;193554;191694;183257;175741;179349;179634;181759;167.52;1085;1.18;1909;Saarland
Salzgitter⁠;45598;100667;108872;119031;113600;114355;112302;102394;103866;103694;104548;224.49;466;0.82;1942;Niedersachsen
Siegen⁠;37622;38787;48210;57563;112320;109174;108476;103424;101943;101516;102560;114.69;894;1.03;1975;Nordrhein-Westfalen
Solingen;140453;147845;170619;177124;166085;165401;164973;159927;159193;158957;160643;89.54;1794;1.06;1929;Nordrhein-Westfalen
Stuttgart;454346;497677;637366;634202;580648;579988;583874;606588;630305;626275;632865;207.33;3052;1.05;1874;Baden-Württemberg
Trier⁠;81808;75526;85210;103598;95536;97835;99410;105260;110674;110570;112195;117.06;958;1.47;1969;Rheinland-Pfalz
Ulm⁠;68585;71132;90383;93158;100671;110529;117233;122801;126405;126949;128928;118.68;1086;1.56;1980;Baden-Württemberg
Wiesbaden⁠;165646;220741;257293;250715;274464;260301;270109;275976;278609;278950;283083;203.87;1389;1.48;1905;Hessen
Wolfsburg⁠;6797;25422;62577;90115;125935;128510;121805;121451;123840;123949;125961;204.62;616;1.62;1972;Niedersachsen
Wuppertal⁠;399718;363224;421378;417694;393381;383660;366434;349721;355004;354572;358876;168.39;2131;1.21;1884;Nordrhein-Westfalen
Würzburg;101345;78443;115541;116395;128652;127777;127966;133799;126954;126933;127810;87.6;1459;0.69;1932;Bayern
